,Kanji,Reading,Meaning,Frequency
0,愛,あい,[1] love; affection; care [2] attachment; craving; desire [3] agape,1357.0
1,愛情,あいじょう,love; affection,2227.0
2,,アイスクリーム,ice cream; icecream,
3,愛する,あいする,to love,1165.0
4,合図,あいず,sign; signal; cue,4589.0
5,相手,あいて,"[1] companion; partner; company [2] other party; addressee; counterparty [3] opponent (sports, etc.)",315.0
6,生憎,あいにく,"unfortunately; sorry, but ...",
7,,アイロン,[1] iron (for pressing clothes) [2] hair iron; hair tong; curling tong,
8,ＯＵＴ (ＯＵＴ),アウト,"[1] out (of a ball; in tennis, etc.); outside the line [2] out; putout [3] outer; external; outside",
9,明かり,あかり,[1] light; glow; gleam [2] (a) light; lights; lamp [3] proof (of innocence),2295.0
10,空き,あき,[1] space; room; gap; emptiness [2] vacancy; opening; empty seat [3] free time; time to spare,
11,明らか,あきらか,[1] clear; obvious; evident; plain; definite [2] bright; light,743.0
12,諦める,あきらめる,"to give up; to abandon (hope, plans); to resign oneself (to)",1653.0
13,飽きる,あきる,[1] to get tired of; to tire of; to lose interest in; to grow weary of; to get fed up with; to get sick of; to become bored with [2] to become sated; to become satiated; to have one's fill,2540.0
14,握手,あくしゅ,[1] handshake [2] reconciliation; joining hands; cooperation,
15,悪魔,あくま,[1] devil; demon; fiend [2] Satan; the Devil [3] Māra; evil spirits or forces that hinder one's path to enlightenment,4982.0
16,預ける,あずける,[1] to leave (in someone's keeping); to put (in someone's care); to place (in someone's custody); to entrust (someone) with; to deposit [2] to put (someone) in charge of; to leave (a matter) in someone's hands; to let (someone) decide [3] to lean on; to put one's weight on,2626.0
17,汗,あせ,[1] sweat; perspiration [2] moisture; condensation [3] gulp; oops,1382.0
18,値,あたい,[1] price; cost [2] value; worth; merit [3] value,2824.0
19,与える,あたえる,[1] to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award [2] to provide; to afford; to offer; to supply [3] to assign,416.0
20,辺り,あたり,[1] (in the) neighbourhood; neighborhood; vicinity; nearby; surroundings [2] around; about; or thereabouts [3] for instance; say; such as,778.0
21,当たる,あたる,"[10] to be stricken (by food poisoning, heat, etc.); to be afflicted [11] to be called on (e.g. by a teacher) [12] to treat (esp. harshly); to lash out at",487.0
22,彼方此方,あちこち,[1] here and there; various places; all around; all over; everywhere; throughout [2] muddled; confused; in the wrong order; back to front,2310.0
23,扱う,あつかう,[1] to deal with (a person); to treat; to handle; to take care of; to entertain [2] to deal with (a problem); to handle; to manage [3] to operate (e.g. a machine); to handle; to work,1028.0
24,集まり,あつまり,gathering; meeting; assembly; collection; attendance,4767.0
25,当てる,あてる,[1] to hit [2] to expose [3] to apply (e.g. patch); to put on; to put against; to hold on; to hold against,1192.0
26,跡,あと,[1] trace; tracks; mark; sign [2] site; remains; ruins [3] scar,2962.0
27,穴,あな,[10] hiding place; hideout [1] hole; opening; orifice; perforation [2] pit; hollow; cavity; hole (e.g. in the ground),1224.0
28,油,あぶら,oil,1923.0
29,誤り,あやまり,error; mistake; slip; bug,
30,粗い,あらい,coarse; rough,
31,嵐,あらし,[1] storm; tempest [2] uproar; hullabaloo; storm (e.g. of protest); winds (e.g. of change) [3] pile of 3 cards of the same value in oicho-kabu,4039.0
32,新た,あらた,new; fresh; novel,875.0
33,凡ゆる,あらゆる,all; every,1331.0
34,表わす,あらわす,[1] to represent; to signify; to stand for [2] to reveal; to show; to display [3] to express,1003.0
35,表す,あらわす,[1] to represent; to signify; to stand for [2] to reveal; to show; to display [3] to express,
36,現れ,あらわれ,embodiment; manifestation; materialization; materialisation; expression; indication,
37,現れる,あらわれる,"[1] to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise [2] to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)",737.0
38,有難う,ありがとう,thank you; thanks,1084.0
39,或る,ある,a certain ...; some ...,
40,或いは,あるいは,[1] or; either ... or [2] maybe; perhaps; possibly [3] some ... and others ...; sometimes ... and at other times ...,237.0
41,,アルバム,album,2429.0
42,泡,あわ,bubble; foam; froth; suds; lather; head (on beer),4519.0
43,合わせる,あわせる,"[1] to match (rhythm, speed, etc.) [2] to join together; to unite; to combine; to add up [3] to face; to be opposite (someone)",519.0
44,哀れ,あわれ,[1] pity; sorrow; grief; misery; compassion; pathos [2] pitiable; pitiful; pathetic; miserable [3] alack; alas,
45,案,あん,[1] idea; plan; proposal; suggestion; (government) bill [2] draft; rough copy [3] expectation,4309.0
46,暗記,あんき,memorization; memorisation; learning by heart,
47,安定,あんてい,[1] stability; steadiness; consistency; equilibrium; balance; composure [2] stable,1538.0
48,案内,あんない,[1] guidance; leading (the way); showing around [2] information; notice; notification [3] announcement (of a visitor's arrival); informing (someone) of a visitor's arrival,2397.0
49,,あんなに,to that extent; to that degree; so much; so,
50,胃,い,"[1] stomach [2] Chinese ""stomach"" constellation (one of the 28 mansions)",2680.0
51,委員,いいん,committee member,2503.0
52,意外,いがい,unexpected; surprising,1034.0
53,息,いき,"[1] breath; breathing [2] concord; harmony; rapport [3] steam (coming off hot food, tea, etc.); (water) vapor; vapour",1322.0
54,行き,いき,[1] the way there; outbound leg; outbound trip; departing leg [2] bound for ... [3] outbound ticket,
55,勢い,いきおい,[1] force; vigor; vigour; energy; spirit; life [2] influence; authority; power; might [3] impetus; momentum; course (of events),1762.0
56,生き物,いきもの,living thing; living creature; animal; life,2816.0
57,,いけない,"[1] bad; wrong; naughty [2] must not (do, be); should not; ought not to [3] useless; no good; bad",
58,医師,いし,doctor; physician,1858.0
59,意志,いし,will; volition; intention; intent; determination,2316.0
60,意思,いし,intention; wish; purpose; mind (to do),2888.0
61,意識,いしき,"[1] consciousness [2] becoming aware (of); awareness; sense [3] mano-vijnana (mental consciousness, cognizer of sensory information)",730.0
62,維持,いじ,maintenance; preservation; improvement,1512.0
63,異常,いじょう,abnormal; unusual; extraordinary; remarkable; uncommon,1931.0
64,泉,いずみ,spring; fountain,
65,何れ,いずれ,[1] which; where; who [2] all; both [3] anyway; anyhow; at any rate; in any case,616.0
66,以前,いぜん,[1] before; prior to; ago [2] the past; before; previously; former times,620.0
67,板,いた,[1] board; plank [2] sheet (of metal); plate (of glass); pane; slab [3] cutting board; chopping board,2705.0
68,悪戯,いたずら,[1] mischief; prank; trick; practical joke [2] mischievous; naughty [3] pastime; hobby,4688.0
69,頂きます,いただきます,thank you (for the meal just served); I receive (this meal),
70,頂く,いただく,[1] to receive; to get; to accept; to take; to buy [2] to eat; to drink [3] to be crowned with; to wear (on one's head); to have (on top),537.0
71,痛み,いたみ,[1] pain; ache; soreness; grief; distress [2] damage; injury; wear; bruise; break,1294.0
72,至る,いたる,[1] to arrive at (e.g. a decision); to reach (a stage); to attain [2] to lead to (a place); to get to [3] in the extreme case of,878.0
73,偉大,いだい,great; grand; magnificent; outstanding; mighty,3920.0
74,抱く,いだく,"[1] to hold in one's arms (e.g. a baby); to embrace; to hug [2] to have (a thought or feeling); to hold; to harbour (suspicion, doubt, etc.); to harbor; to bear (a grudge, ill will, etc.); to entertain (hope, illusions, etc.); to cherish (e.g. an ambition)",1378.0
75,位置,いち,[1] place; position; location [2] position; standing; status; situation,913.0
76,市,いち,market; fair,
77,一時,いちじ,[1] one o'clock [2] once; at one time; formerly; before [3] for a time; for a while; for the time being; for the moment; temporarily,1247.0
78,一度に,いちどに,all at once,
79,市場,いちば,(town) market; (street) market; marketplace,2014.0
80,一家,いっか,[1] a family; a household; a home; one's family; whole family [2] (one's own) style; school [3] gang; (yakuza) family,4328.0
81,一種,いっしゅ,[1] a kind; a sort; a variety; a species [2] of sorts; something of a; a sort of [3] sort of; somewhat,1951.0
82,一瞬,いっしゅん,instant; moment; for an instant,1645.0
83,一生,いっしょう,"[1] whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era [2] (the only, the greatest, etc.) of one's life",1595.0
84,一層,いっそう,[1] even more; still more; all the more; more than ever [2] one layer [3] lowest floor (of a building),1576.0
85,一体,いったい,[1] (what) the heck; (why) in the world; (who) on earth [2] one object; one body; unity [3] one form; one style,705.0
86,一致,いっち,[1] agreement; accord; correspondence; consistency; coincidence; match [2] union; unity; cooperation [3] Icchi,2605.0
87,一般,いっぱん,[1] general; universal [2] ordinary; average; common; non-celebrity [3] the same; no different; (just) as if,946.0
88,一方,いっぽう,[1] one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party [2] on the one hand; on the other hand [3] whereas; although; but at the same time; meanwhile; in turn,558.0
89,何時か,いつか,sometime; someday; one day; some time or other; the other day; in due course; in time,3619.0
90,何時でも,いつでも,[1] always; all the time; at all times [2] (at) any time; whenever (you like),
91,何時までも,いつまでも,forever; eternally; for good; as long as one likes; indefinitely; endlessly; for a long time,
92,従兄弟,いとこ,cousin (male),4129.0
93,移動,いどう,[1] movement; transfer; migration; removal; travel [2] mobile; moving; traveling; travelling; roving,1119.0
94,稲,いね,rice plant (Oryza sativa),
95,居眠り,いねむり,nodding off (while sitting); dozing,
96,命,いのち,[1] life; life force [2] lifetime; lifespan [3] most important thing; foundation; core,901.0
97,違反,いはん,violation; offense; offence; breach; transgression; infringement; contravention,2914.0
98,衣服,いふく,clothes,
99,居間,いま,living room (Western style); sitting room,4947.0
100,今に,いまに,before long; even now,
101,今にも,いまにも,at any moment (now); at any minute; on the verge of (doing); just about to,
102,以来,いらい,since; henceforth,2514.0
103,依頼,いらい,[1] request; commission; entrusting (with a matter) [2] dependence; reliance,2355.0
104,苛々,いらいら,to get irritated; to get annoyed; to be on the edge; to fret; to lose patience,3986.0
105,,いらっしゃい,[1] come; go; stay [2] welcome,
106,医療,いりょう,medical treatment; medical care,2689.0
107,岩,いわ,[1] rock; boulder [2] crag,3196.0
108,祝い,いわい,[1] congratulation; congratulations; celebration; festival [2] congratulatory gift; present,4501.0
109,祝う,いわう,"[1] to celebrate; to congratulate; to observe (a festival) [2] to present (a gift) in celebration; to drink in celebration [3] to wish for (a happy future, good fortune, etc.); to pray for",4936.0
110,言わば,いわば,so to speak; so to call it; as it were,2025.0
111,所謂,いわゆる,what is called; what you call; what they call; so-called,330.0
112,,インク,ink,
113,印刷,いんさつ,printing,3330.0
114,印象,いんしょう,impression,540.0
115,引退,いんたい,retirement,3850.0
116,引用,いんよう,quotation; citation; reference,3942.0
117,,ウイスキー,whisky; whiskey,
118,伺う,うかがう,[1] to call on someone; to call at a place; to pay a visit; to wait on someone [2] to ask; to inquire [3] to hear; to be told,3656.0
119,嗽,うがい,gargling; rinsing one's mouth,
120,受け取る,うけとる,[1] to receive; to get; to accept [2] to take (someone's words or behaviour); to interpret; to understand,1545.0
121,動かす,うごかす,[1] to move; to shift; to stir; to budge; to change position [2] to inspire; to rouse; to move (e.g. feeling); to influence [3] to change; to alter; to deny,1218.0
122,兎,うさぎ,rabbit; hare; coney; cony; lagomorph (esp. leporids),3136.0
123,牛,うし,"[1] cattle (Bos taurus); cow; bull; ox; calf [2] beef [3] Chinese ""Ox"" constellation (one of the 28 mansions)",2492.0
124,失う,うしなう,"[1] to lose [2] to miss (a chance, opportunity) [3] to lose (a loved one); to be bereaved of",861.0
125,嘘,うそ,[1] lie; fib; falsehood; untruth [2] mistake; error [3] unwise move; bad decision,1173.0
126,疑う,うたがう,to doubt; to distrust; to be suspicious of; to suspect,2446.0
127,宇宙,うちゅう,universe; cosmos; space,2132.0
128,訴える,うったえる,"[1] to raise; to bring to (someone's attention) [2] to appeal to (reason, emotions, etc.); to work on (one's emotions); to play on (one's sympathies) [3] to complain",1768.0
129,撃つ,うつ,"to shoot (a gun, person, etc.); to fire",
130,移す,うつす,"[1] to transfer (to a different place, group, etc.); to change; to swap; to substitute [2] to move to the next stage (of a plan, etc.) [3] to divert (one's attention) to",2119.0
131,唸る,うなる,"[1] to groan; to moan [2] to roar; to howl; to growl [3] to hum (engine, wind, etc.); to buzz; to whiz; to sough; to make a low, dull sound",
132,奪う,うばう,[1] to take (by force); to take away; to snatch; to steal; to rob (someone) of; to dispossess of; to deprive of; to usurp [2] to absorb (one's attention); to fascinate; to captivate; to charm; to dazzle,2059.0
133,馬,うま,[1] horse [2] horse racing [3] promoted bishop,907.0
134,上手い,うまい,"[1] skillful; skilful; skilled; good; expert; clever (expression, trick, etc.); apt; appropriate [2] delicious; tasty; good; nice [3] good (deal, idea, etc.); profitable; promising; lucky; fortunate; successful; satisfactory; splendid",357.0
135,生まれ,うまれ,"[1] birth; birthplace [2] born in (country, month, imperial era, zodiac year, etc.)",4167.0
136,梅,うめ,[1] Japanese apricot (Prunus mume); Japanese plum; ume; Chinese plum [2] lowest (of a three-tier ranking system),4471.0
137,裏切る,うらぎる,[1] to betray; to turn traitor (to); to double-cross; to go back on; to be unfaithful (to) [2] to disappoint; to let down,4099.0
